method_id,method,scale,dimension,evaluation,n_runs,success_rate,mean_best_so_far,std_best_so_far,q25_best_so_far,q75_best_so_far,sem_best_so_far
ft_hsbo,FT-HSBO,medium,40-D,81,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,82,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,83,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,84,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,85,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,86,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,87,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,88,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,89,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,90,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,91,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,92,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,93,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,94,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,95,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,96,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,97,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,98,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,99,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,100,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,101,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,102,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,103,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,104,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,105,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,106,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,107,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,108,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,109,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,110,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,111,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,112,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,113,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,114,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,115,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,116,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,117,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,118,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,119,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,120,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,121,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,122,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,123,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,124,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,125,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,126,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,127,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,128,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,129,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,130,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
ft_hsbo,FT-HSBO,medium,40-D,131,20,1.0,38.43700198983948,13.44289166218136,30.699628210433296,42.83830698045722,3.005921957080266
