method,method_id,scale,dimension,seed,budget,utility,best_eval_idx,success,first_feasible_index,positive_eval_rate,served_ratio,served_priority,served_count,outage_ratio_mean,energy_at_best,channel_model,window_width,rate_threshold_mbps,source_log
Full BO,full_space_bo,large,80-D,5,300,4.4674,60,True,60.0,0.01,0.025,9.638244,1,0.12319,317.084398,distance,30.0,15.0,logs/main/large/full_space_bo/seed_5.csv
Full BO,full_space_bo,large,80-D,6,300,0.0,1,False,,0.0,0.0,0.0,0,0.064349,362.598487,distance,30.0,15.0,logs/main/large/full_space_bo/seed_6.csv
Full BO,full_space_bo,large,80-D,7,300,0.0,1,False,,0.0,0.0,0.0,0,0.08731,479.566194,distance,30.0,15.0,logs/main/large/full_space_bo/seed_7.csv
Full BO,full_space_bo,large,80-D,8,300,0.0,1,False,,0.0,0.0,0.0,0,0.092115,404.132128,distance,30.0,15.0,logs/main/large/full_space_bo/seed_8.csv
Full BO,full_space_bo,large,80-D,9,300,8.135964,191,True,14.0,0.01,0.025,14.045878,1,0.082243,390.991368,distance,30.0,15.0,logs/main/large/full_space_bo/seed_9.csv
Full BO,full_space_bo,large,80-D,10,300,0.0,1,False,,0.0,0.0,0.0,0,0.057599,391.524736,distance,30.0,15.0,logs/main/large/full_space_bo/seed_10.csv
Full BO,full_space_bo,large,80-D,11,300,0.0,1,False,,0.0,0.0,0.0,0,0.108448,348.492788,distance,30.0,15.0,logs/main/large/full_space_bo/seed_11.csv
Full BO,full_space_bo,large,80-D,12,300,0.0,1,False,,0.0,0.0,0.0,0,0.080762,386.181947,distance,30.0,15.0,logs/main/large/full_space_bo/seed_12.csv
Full BO,full_space_bo,large,80-D,13,300,9.453919,80,True,80.0,0.006667,0.025,13.141965,1,0.092829,368.804544,distance,30.0,15.0,logs/main/large/full_space_bo/seed_13.csv
Full BO,full_space_bo,large,80-D,14,300,0.0,1,False,,0.0,0.0,0.0,0,0.124708,399.124871,distance,30.0,15.0,logs/main/large/full_space_bo/seed_14.csv
Full BO,full_space_bo,large,80-D,15,300,4.965848,163,True,150.0,0.013333,0.025,10.196433,1,0.073385,323.058485,distance,30.0,15.0,logs/main/large/full_space_bo/seed_15.csv
Full BO,full_space_bo,large,80-D,16,300,7.688073,120,True,120.0,0.003333,0.025,11.212997,1,0.099143,352.492378,distance,30.0,15.0,logs/main/large/full_space_bo/seed_16.csv
Full BO,full_space_bo,large,80-D,17,300,0.0,1,False,,0.0,0.0,0.0,0,0.067209,401.644786,distance,30.0,15.0,logs/main/large/full_space_bo/seed_17.csv
Full BO,full_space_bo,large,80-D,18,300,0.0,1,False,,0.0,0.0,0.0,0,0.080405,414.736951,distance,30.0,15.0,logs/main/large/full_space_bo/seed_18.csv
Full BO,full_space_bo,large,80-D,19,300,8.214235,35,True,35.0,0.003333,0.025,11.796638,1,0.124937,358.240306,distance,30.0,15.0,logs/main/large/full_space_bo/seed_19.csv
DE-rp,de_rp,medium,40-D,0,300,12.085688,87,True,10.0,0.08,0.1,19.627539,2,0.073131,154.185153,distance,30.0,15.0,logs/main/medium/de_rp/seed_0.csv
DE-rp,de_rp,medium,40-D,1,300,10.643793,150,True,1.0,0.05,0.05,12.503647,1,0.207823,185.985403,distance,30.0,15.0,logs/main/medium/de_rp/seed_1.csv
DE-rp,de_rp,medium,40-D,2,300,23.798386,219,True,53.0,0.03,0.1,29.437533,2,0.294012,163.914713,distance,30.0,15.0,logs/main/medium/de_rp/seed_2.csv
DE-rp,de_rp,medium,40-D,3,300,5.950209,36,True,36.0,0.02,0.05,12.081448,1,0.082091,213.123884,distance,30.0,15.0,logs/main/medium/de_rp/seed_3.csv
DE-rp,de_rp,medium,40-D,4,300,9.984222,276,True,5.0,0.036667,0.05,12.394732,1,0.044192,241.051037,distance,30.0,15.0,logs/main/medium/de_rp/seed_4.csv
DE-rp,de_rp,medium,40-D,5,300,9.865624,217,True,163.0,0.01,0.05,13.700885,1,0.024272,183.526089,distance,30.0,15.0,logs/main/medium/de_rp/seed_5.csv
DE-rp,de_rp,medium,40-D,6,300,5.594704,58,True,58.0,0.006667,0.05,9.180542,1,0.044751,158.5838,distance,30.0,15.0,logs/main/medium/de_rp/seed_6.csv
DE-rp,de_rp,medium,40-D,7,300,12.137613,229,True,20.0,0.043333,0.05,14.671482,1,0.291913,253.386901,distance,30.0,15.0,logs/main/medium/de_rp/seed_7.csv
DE-rp,de_rp,medium,40-D,8,300,8.204867,183,True,86.0,0.03,0.05,14.113564,1,0.06145,190.86964,distance,30.0,15.0,logs/main/medium/de_rp/seed_8.csv
DE-rp,de_rp,medium,40-D,9,300,18.3076,136,True,28.0,0.03,0.1,20.016194,2,0.024468,170.859349,distance,30.0,15.0,logs/main/medium/de_rp/seed_9.csv
DE-rp,de_rp,medium,40-D,10,300,8.628937,85,True,51.0,0.03,0.05,14.334385,1,0.114643,170.544723,distance,30.0,15.0,logs/main/medium/de_rp/seed_10.csv
DE-rp,de_rp,medium,40-D,11,300,9.154221,260,True,179.0,0.013333,0.05,13.05136,1,0.031591,189.71393,distance,30.0,15.0,logs/main/medium/de_rp/seed_11.csv
DE-rp,de_rp,medium,40-D,12,300,5.79033,42,True,13.0,0.013333,0.05,11.705105,1,0.046139,191.477482,distance,30.0,15.0,logs/main/medium/de_rp/seed_12.csv
DE-rp,de_rp,medium,40-D,13,300,16.145704,105,True,33.0,0.026667,0.1,19.598583,2,0.033112,145.28797,distance,30.0,15.0,logs/main/medium/de_rp/seed_13.csv
